SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon Jan 21 15:01:43 CET 2019
User: thoje
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: QEB0094
Integration Time (usec): 2000000 (QEB0094)
Spectra Averaged: 1 (QEB0094)
Boxcar Smoothing: 0 (QEB0094)
Correct for Electrical Dark: No (QEB0094)
Strobe/Lamp Enabled: No (QEB0094)
Correct for Detector Non-linearity: No (QEB0094)
Correct for Stray Light: No (QEB0094)
Number of Pixels in Processed Spectrum: 1044
>>>>>Begin Processed Spectral Data<<<<<
198,87	2241,00
199,67	2241,00
200,48	2241,00
201,28	2237,00
202,08	2238,00
202,88	2238,00
203,69	2239,00
204,49	2242,00
205,29	2239,00
206,09	2243,00
206,89	2241,00
207,70	2241,00
208,50	2239,00
209,30	2240,00
210,10	2239,00
210,90	2242,00
211,70	2244,00
212,51	2241,00
213,31	2242,00
214,11	2243,00
214,91	2241,00
215,71	2239,00
216,51	2239,00
217,31	2243,00
218,11	2246,00
218,91	2245,00
219,72	2244,00
220,52	2244,00
221,32	2243,00
222,12	2240,00
222,92	2241,00
223,72	2243,00
224,52	2247,00
225,32	2246,00
226,12	2244,00
226,92	2241,00
227,72	2243,00
228,52	2244,00
229,32	2243,00
230,12	2243,00
230,92	2240,00
231,72	2245,00
232,52	2245,00
233,32	2243,00
234,11	2246,00
234,91	2239,00
235,71	2241,00
236,51	2243,00
237,31	2244,00
238,11	2244,00
238,91	2247,00
239,71	2246,00
240,51	2242,00
241,31	2242,00
242,10	2244,00
242,90	2241,00
243,70	2243,00
244,50	2250,00
245,30	2247,00
246,10	2245,00
246,89	2243,00
247,69	2241,00
248,49	2241,00
249,29	2243,00
250,09	2244,00
250,88	2246,00
251,68	2246,00
252,48	2248,00
253,28	2244,00
254,07	2242,00
254,87	2242,00
255,67	2243,00
256,47	2246,00
257,26	2245,00
258,06	2244,00
258,86	2246,00
259,65	2243,00
260,45	2239,00
261,25	2240,00
262,04	2244,00
262,84	2249,00
263,64	2254,00
264,43	2247,00
265,23	2246,00
266,03	2244,00
266,82	2237,00
267,62	2241,00
268,42	2246,00
269,21	2242,00
270,01	2246,00
270,80	2243,00
271,60	2241,00
272,39	2245,00
273,19	2242,00
273,99	2241,00
274,78	2242,00
275,58	2247,00
276,37	2246,00
277,17	2248,00
277,96	2243,00
278,76	2242,00
279,55	2241,00
280,35	2241,00
281,14	2241,00
281,94	2245,00
282,73	2244,00
283,53	2250,00
284,32	2243,00
285,12	2241,00
285,91	2240,00
286,70	2241,00
287,50	2246,00
288,29	2245,00
289,09	2250,00
289,88	2243,00
290,67	2253,00
